   R( 20, 10) =       5.5525
   R( 20, 11) =       5.3347
   R( 20, 12) =       4.0745
   R( 20, 13) =       4.6201
   R( 20, 14) =       2.6674
   R( 20, 15) =       3.0800
   R( 20, 16) =       2.6674
   R( 20, 17) =       1.5400
   R( 20, 18) =       1.5400
   R( 20, 19) =       2.6673
   R( 21,  0) =       4.6200
   R( 21,  1) =       4.0745
   R( 21,  2) =       2.6673
   R( 21,  3) =       1.5401
   R( 21,  4) =       1.5400
   R( 21,  5) =       2.6674
   R( 21,  6) =       4.0746
   R( 21,  7) =       4.6202
   R( 21,  8) =       2.6674
   R( 21,  9) =       4.0745
   R( 21, 10) =       4.0744
   R( 21, 11) =       2.6673
   R( 21, 12) =       3.0800
   R( 21, 13) =       5.3346
   R( 21, 14) =       5.3348
   R( 21, 15) =       5.5524
   R( 21, 16) =       4.6199
   R( 21, 17) =       5.5525
   R( 21, 18) =       7.7000
   R( 21, 19) =       7.0571
   R( 21, 20) =       7.0572
   R( 22,  0) =       5.5526
   R( 22,  1) =       4.6200
   R( 22,  2) =       3.0799
   R( 22,  3) =       2.6674
   R( 22,  4) =       2.6673
   R( 22,  5) =       3.0801
   R( 22,  6) =       4.6202
   R( 22,  7) =       5.5527
   R( 22,  8) =       4.0745
   R( 22,  9) =       5.3348
   R( 22, 10) =       5.3347
   R( 22, 11) =       4.0744
   R( 22, 12) =       4.6200
   R( 22, 13) =       6.7125
   R( 22, 14) =       6.7128
   R( 22, 15) =       7.0570
   R( 22, 16) =       6.1599
   R( 22, 17) =       7.0572
   R( 22, 18) =       9.2400
   R( 22, 19) =       8.5743
   R( 22, 20) =       8.5744
   R( 22, 21) =       1.5400
   R( 23,  0) =       5.3348
   R( 23,  1) =       4.0745
   R( 23,  2) =       2.6673
   R( 23,  3) =       4.0745
   R( 23,  4) =       3.0800
   R( 23,  5) =       4.6201
   R( 23,  6) =       6.1602
   R( 23,  7) =       7.0573
   R( 23,  8) =       5.3348
