       1   -2.66738819
       2   -2.65353796
       3   -2.31860323
       4   -2.21215665
       5   -2.14896114
       6   -2.14896114
       7   -2.01651703
       8   -1.72593875
       9   -1.54336192
      10   -1.54336192
      11   -1.52506049
      12   -1.52474696
      13   -1.49309445
      14   -1.18101222
      15   -1.00000000
      16   -1.00000000
      17   -1.00000000
      18   -1.00000000
      19   -1.00000000
      20   -1.00000000
      21   -1.00000000
      22   -0.87121857
      23   -0.69630530
      24   -0.10181588
      25   -0.00000000
      26    0.00000000
      27    0.10181588
      28    0.69630530
      29    0.87121857
      30    1.00000000
      31    1.00000000
      32    1.00000000
      33    1.00000000
      34    1.00000000
      35    1.00000000
      36    1.00000000
      37    1.18101222
      38    1.49309445
      39    1.52474696
      40    1.52506049
      41    1.54336192
      42    1.54336192
      43    1.72593875
      44    2.01651703
      45    2.14896114
      46    2.14896114
      47    2.21215665
      48    2.31860323
      49    2.65353796
      50    2.66738819
