       1   -2.63942812
       2   -2.60825467
       3   -2.54271284
       4   -2.43008486
       5   -2.38428641
       6   -2.18738175
       7   -2.15909696
       8   -1.97962442
       9   -1.84604521
      10   -1.83020262
      11   -1.77233706
      12   -1.56164859
      13   -1.54142834
      14   -1.52791749
      15   -1.51912513
      16   -1.39601511
      17   -1.38553666
      18   -1.33803750
      19   -1.25948175
      20   -1.17794496
      21   -1.14171941
      22   -1.11762258
      23   -0.94011944
      24   -0.86274887
      25   -0.85857857
      26   -0.83065078
      27   -0.67290516
      28   -0.52830106
      29   -0.51121310
      30   -0.46778445
      31   -0.03442931
      32   -0.00379988
      33    0.00379988
      34    0.03442931
      35    0.46778445
      36    0.51121310
      37    0.52830106
      38    0.67290516
      39    0.83065078
      40    0.85857857
      41    0.86274887
      42    0.94011944
      43    1.11762258
      44    1.14171941
      45    1.17794496
      46    1.25948175
      47    1.33803750
      48    1.38553666
      49    1.39601511
      50    1.51912513
      51    1.52791749
      52    1.54142834
      53    1.56164859
      54    1.77233706
      55    1.83020262
      56    1.84604521
      57    1.97962442
      58    2.15909696
      59    2.18738175
      60    2.38428641
      61    2.43008486
      62    2.54271284
      63    2.60825467
      64    2.63942812
